,Date,President,Approving,Disapproving,Unsure/NoData,Approve_change,Disapprove_change,Unsure_change,Polarity,Subjectivity,compound,Negative,Neutral,Positive
94,1974-08-09,Gerald Ford,71,3,26,-22.4137931,85.36585366,-20.93023256,0.19275483630952386,0.4771515376984128,0.9994,0.073,0.546,0.381
95,1974-09-08,Gerald Ford,66,13,21,-29.41176471,54.38596491,-2.43902439,0.12922077922077926,0.5005681818181816,0.9989,0.131,0.552,0.317
96,1974-09-16,Gerald Ford,50,28,22,5.660377358,1.754385965,-18.91891892,0.021851851851851848,0.40775132275132275,0.9538,0.109,0.717,0.174
97,1974-09-18,Gerald Ford,50,28,22,5.660377358,1.754385965,-18.91891892,0.14626825038315722,0.38796886343470194,0.9998,0.087,0.602,0.311
98,1974-10-08,Gerald Ford,52,29,19,-2.97029703,4.918032787,0.0,0.10184108350775015,0.3862841212841213,0.9998,0.084,0.704,0.212
99,1975-04-10,Gerald Ford,39,46,15,14.28571429,-21.05263158,9.090909091,0.08916425046998287,0.4109485201045714,1.0,0.118,0.6,0.282
100,1975-04-23,Gerald Ford,40,43,17,22.33009709,-30.3030303,-9.677419355,0.2363286359031039,0.44994749930920147,0.9998,0.08,0.614,0.306
101,1975-05-27,Gerald Ford,51,33,16,-5.154639175,5.714285714,3.03030303,0.042543945953036864,0.3004788141151778,0.9975,0.085,0.714,0.2
102,1975-08-01,Gerald Ford,45,37,18,1.098901099,1.333333333,-5.882352941,0.12027452594354,0.41030465622014906,0.9999,0.082,0.602,0.316
103,1976-01-19,Gerald Ford,45,45,10,4.255319149,-15.38461538,28.57142857,0.12363619930322751,0.4436535638379456,0.9999,0.132,0.608,0.26
104,1977-02-02,Jimmy Carter,66,8,26,6.382978723,11.11111111,-26.82926829,0.14268101030424987,0.45775815342716764,0.9998,0.098,0.653,0.249
105,1977-03-09,Jimmy Carter,75,9,16,-7.913669065,25.0,13.51351351,0.07224341778440138,0.40710947886357746,0.9997,0.083,0.73,0.188
106,1977-04-18,Jimmy Carter,63,18,19,3.076923077,5.263157895,-18.75,0.11285201640464804,0.44842371079213195,0.9988,0.126,0.659,0.214
107,1977-05-22,Jimmy Carter,63,19,18,-0.8,5.0,-2.857142857,0.09518455228981537,0.3881758689653426,0.9998,0.123,0.598,0.279
108,1977-09-07,Jimmy Carter,54,29,17,5.263157895,-9.433962264,-3.03030303,0.28319559228650143,0.4391873278236914,0.9993,0.017,0.587,0.396
109,1977-11-08,Jimmy Carter,56,30,14,0.0,-11.11111111,17.64705882,0.07924436809145548,0.4588838804130069,0.9997,0.114,0.596,0.29
110,1978-01-19,Jimmy Carter,52,28,20,-7.216494845,16.41791045,-11.11111111,0.13862665178894296,0.4291285511094578,0.9999,0.122,0.585,0.293
111,1978-09-17,Jimmy Carter,43,41,16,1.149425287,0.0,-3.225806452,0.1862748917748917,0.4638809523809524,0.9993,0.055,0.576,0.369
112,1978-10-24,Jimmy Carter,49,36,15,3.921568627,-2.857142857,-7.142857143,0.07492780502116599,0.4517247609467526,0.9987,0.127,0.683,0.19
113,1979-01-23,Jimmy Carter,42,42,16,-10.52631579,10.63829787,-6.666666667,0.11611311092289352,0.42222857456553103,0.9999,0.099,0.569,0.332
114,1980-01-04,Jimmy Carter,56,33,11,0.884955752,2.941176471,-15.78947368,0.08587589376915221,0.41830577038442196,0.9992,0.111,0.615,0.274
115,1980-01-23,Jimmy Carter,58,32,10,-8.411214953,13.51351351,-5.263157895,0.11886211957234688,0.42740226944772425,0.9999,0.12,0.574,0.306
116,1980-04-25,Jimmy Carter,43,47,10,-13.15789474,8.737864078,4.761904762,0.04820276497695853,0.44004608294930875,0.9959,0.158,0.544,0.299
117,1980-08-14,Jimmy Carter,32,55,13,5.882352941,0.900900901,-23.80952381,0.13080693340801153,0.44602812880440884,1.0,0.107,0.588,0.305
118,1981-01-20,Ronald Reagan,51,13,36,11.30434783,38.0952381,-67.44186047,0.1911454608193739,0.4537271786184828,0.9998,0.113,0.58,0.307
119,1981-01-29,Ronald Reagan,51,13,36,11.30434783,38.0952381,-67.44186047,0.1228813189498673,0.40962199762602997,0.9996,0.084,0.734,0.182
120,1981-04-28,Ronald Reagan,68,21,11,-15.25423729,26.31578947,12.0,0.06081080604178429,0.406175340360123,0.9995,0.091,0.681,0.228
121,1981-11-18,Ronald Reagan,54,37,9,-10.20408163,8.641975309,14.28571429,0.052414416723627254,0.4264970348851928,0.9998,0.119,0.622,0.26
122,1982-01-26,Ronald Reagan,47,43,10,-3.296703297,5.494505495,-11.11111111,0.07603785612293465,0.379765455603152,0.9999,0.108,0.654,0.237
123,1982-06-08,Ronald Reagan,45,45,10,-4.651162791,2.173913043,9.090909091,0.07229465793248782,0.42063854929690697,0.9998,0.148,0.603,0.25
124,1982-06-09,Ronald Reagan,45,45,10,-4.651162791,2.173913043,9.090909091,0.07447974058769517,0.4041556391840483,0.9999,0.129,0.581,0.29
125,1982-06-17,Ronald Reagan,44,46,10,-6.024096386,1.075268817,16.66666667,0.07232089710884355,0.44396058926192833,0.9998,0.146,0.585,0.269
126,1982-08-16,Ronald Reagan,42,46,12,-2.43902439,4.166666667,-9.090909091,0.10827384173366313,0.40813957495877135,0.9992,0.111,0.695,0.194
127,1983-01-25,Ronald Reagan,35,56,9,13.58024691,-13.13131313,10.0,0.10421269679134848,0.41702950046208476,1.0,0.112,0.614,0.275
128,1983-02-18,Ronald Reagan,40,50,10,2.43902439,-2.040816327,0.0,0.0915829521806386,0.39938798562191885,0.9996,0.139,0.655,0.207
129,1983-03-08,Ronald Reagan,41,49,10,2.380952381,-3.157894737,4.761904762,0.09456502401707878,0.47707524115914546,0.9998,0.12,0.625,0.256
130,1983-04-27,Ronald Reagan,43,46,11,3.370786517,-4.545454545,4.347826087,0.053913321526957866,0.36255719388836244,0.9997,0.143,0.627,0.231
